Year,Month,Calls
2013,Jan,2850
2013,Feb,2720
2013,Mar,2800
2013,Apr,2880
2013,May,3000
2013,Jun,3080
2013,Jul,3200
2013,Aug,3180
2013,Sep,3050
2013,Oct,2920
2013,Nov,2800
2013,Dec,2700
2014,Jan,2880
2014,Feb,2760
2014,Mar,2840
2014,Apr,2920
2014,May,3050
2014,Jun,3120
2014,Jul,3250
2014,Aug,3230
2014,Sep,3100
2014,Oct,2980
2014,Nov,2850
2014,Dec,2750
2015,Jan,2900
2015,Feb,2780
2015,Mar,2870
2015,Apr,2950
2015,May,3080
2015,Jun,3160
2015,Jul,3300
2015,Aug,3280
2015,Sep,3150
2015,Oct,3020
2015,Nov,2900
2015,Dec,2780
2016,Jan,2950
2016,Feb,2820
2016,Mar,2900
2016,Apr,2980
2016,May,3120
2016,Jun,3200
2016,Jul,3350
2016,Aug,3320
2016,Sep,3180
2016,Oct,3050
2016,Nov,2920
2016,Dec,2800
2017,Jan,2980
2017,Feb,2840
2017,Mar,2920
2017,Apr,3000
2017,May,3150
2017,Jun,3230
2017,Jul,3400
2017,Aug,3380
2017,Sep,3220
2017,Oct,3080
2017,Nov,2950
2017,Dec,2830
2018,Jan,3000
2018,Feb,2860
2018,Mar,2950
2018,Apr,3030
2018,May,3180
2018,Jun,3260
2018,Jul,3450
2018,Aug,3420
2018,Sep,3250
2018,Oct,3100
2018,Nov,2970
2018,Dec,2850
2019,Jan,3050
2019,Feb,2920
2019,Mar,3000
2019,Apr,3080
2019,May,3220
2019,Jun,3300
2019,Jul,3500
2019,Aug,3480
2019,Sep,3300
2019,Oct,3150
2019,Nov,3000
2019,Dec,2900
2020,Jan,3100
2020,Feb,2950
2020,Mar,NA
2020,Apr,3000
2020,May,3300
2020,Jun,3400
2020,Jul,3600
2020,Aug,3580
2020,Sep,3400
2020,Oct,3200
2020,Nov,3050
2020,Dec,2950
2021,Jan,3150
2021,Feb,3000
2021,Mar,3080
2021,Apr,3150
2021,May,3350
2021,Jun,3450
2021,Jul,3680
2021,Aug,3650
2021,Sep,3450
2021,Oct,3250
2021,Nov,3100
2021,Dec,3000
2022,Jan,3200
2022,Feb,3050
2022,Mar,3120
2022,Apr,3200
2022,May,3400
2022,Jun,3500
2022,Jul,3750
2022,Aug,3720
2022,Sep,3500
2022,Oct,3300
2022,Nov,3150
2022,Dec,3050
