Year,Month,Avg_Response_Minutes
2015,Jan,8.6
2015,Feb,8.8
2015,Mar,9.0
2015,Apr,8.7
2015,May,8.9
2015,Jun,9.2
2015,Jul,9.8
2015,Aug,9.7
2015,Sep,9.3
2015,Oct,9.0
2015,Nov,8.8
2015,Dec,8.7
2016,Jan,8.9
2016,Feb,9.1
2016,Mar,9.3
2016,Apr,9.0
2016,May,9.2
2016,Jun,9.5
2016,Jul,10.1
2016,Aug,10.0
2016,Sep,9.6
2016,Oct,9.3
2016,Nov,9.0
2016,Dec,9.2
2017,Jan,9.1
2017,Feb,9.3
2017,Mar,9.5
2017,Apr,9.2
2017,May,9.4
2017,Jun,9.7
2017,Jul,10.3
2017,Aug,10.2
2017,Sep,9.8
2017,Oct,9.5
2017,Nov,9.2
2017,Dec,9.4
2018,Jan,9.4
2018,Feb,9.6
2018,Mar,9.8
2018,Apr,9.5
2018,May,9.7
2018,Jun,10.0
2018,Jul,10.6
2018,Aug,10.5
2018,Sep,10.1
2018,Oct,9.8
2018,Nov,9.5
2018,Dec,9.6
2019,Jan,9.6
2019,Feb,9.8
2019,Mar,10.0
2019,Apr,9.7
2019,May,10.0
2019,Jun,10.3
2019,Jul,10.9
2019,Aug,10.8
2019,Sep,10.4
2019,Oct,10.0
2019,Nov,9.7
2019,Dec,9.8
2020,Jan,10.1
2020,Feb,10.3
2020,Mar,10.6
2020,Apr,10.4
2020,May,10.8
2020,Jun,11.0
2020,Jul,11.7
2020,Aug,11.6
2020,Sep,11.1
2020,Oct,10.7
2020,Nov,10.4
2020,Dec,10.6
2021,Jan,10.8
2021,Feb,11.0
2021,Mar,11.3
2021,Apr,11.0
2021,May,11.4
2021,Jun,11.7
2021,Jul,12.4
2021,Aug,12.3
2021,Sep,11.9
2021,Oct,11.4
2021,Nov,11.1
2021,Dec,11.2
2021,Dec,17.8
2022,Jan,11.2
2022,Feb,11.5
2022,Mar,11.7
2022,Apr,11.4
2022,May,11.8
2022,Jun,12.1
2022,Jul,12.9
2022,Aug,12.8
2022,Sep,12.3
2022,Oct,11.9
2022,Nov,11.6
2022,Dec,11.8
